experiment,seed,train_acc,test_acc,train_loss,test_loss,epochs,time_minutes
baseline,0,0.98614,0.7277,0.042290759551525114,2.285651997375488,30,1.5668397823969522
augmentation,0,0.84478,0.8114,0.44482307121276854,0.5745001705169678,30,2.2491350809733075
batchnorm,0,0.98794,0.774,0.035268639050126074,1.431555475616455,30,1.5111764788627624
dropout,0,0.9273,0.7633,0.19506365002155304,1.3209752021789551,30,1.493096391359965
label_smoothing,0,1,0.7439,0.5301317266654968,1.1663644355773926,30,1.5337579647699993
all_tricks,0,0.74918,0.8196,1.155805090484619,0.9692519144058227,30,2.1676366329193115
